Arc Length (m),Radius (m),Curvature (1/m),Angle (deg),Coordinates
2268.430008,2713.055499,0.00036859,47.905937,"[<QgsPointXY: POINT(8105863.02687625121325254 2149442.85683349100872874)>, <QgsPointXY: POINT(8106229.86121707037091255 2149155.8403508816845715)>, <QgsPointXY: POINT(8106347.24820613395422697 2149062.75482489680871367)>, <QgsPointXY: POINT(8106684.73579968698322773 2148589.57688870001584291)>, <QgsPointXY: POINT(8106897.49971736408770084 2148256.03207765892148018)>, <QgsPointXY: POINT(8107029.56008005887269974 2147837.1698701255954802)>, <QgsPointXY: POINT(8107073.58020095713436604 2147604.47250159922987223)>]"
1685.462026,948.645703,0.00105413,101.797605,"[<QgsPointXY: POINT(8105815.33841194398701191 2150528.90311856009066105)>, <QgsPointXY: POINT(8105690.61473606619983912 2150206.96170459594577551)>, <QgsPointXY: POINT(8105672.27301902417093515 2149935.44895353121683002)>, <QgsPointXY: POINT(8105730.96651355549693108 2149632.91059674602001905)>, <QgsPointXY: POINT(8105848.35350261814892292 2149442.85683349147439003)>, <QgsPointXY: POINT(8106277.54968137759715319 2149120.93322693649679422)>]"
648.316506,1033.457579,0.00096763,35.943226,"[<QgsPointXY: POINT(8106020.76564280595630407 2151040.91720852302387357)>, <QgsPointXY: POINT(8106156.4943489097058773 2151370.63032230408862233)>, <QgsPointXY: POINT(8106178.50440935883671045 2151661.55825919099152088)>]"
1098.287558,2298.677935,0.00043503,27.375406,"[<QgsPointXY: POINT(8106493.98194246739149094 2152456.78330128733068705)>, <QgsPointXY: POINT(8106853.47959647048264742 2152984.36502332938835025)>, <QgsPointXY: POINT(8107014.88670643232762814 2153414.97533269971609116)>]"
5382.884042,3722.860476,0.00026861,82.843969,"[<QgsPointXY: POINT(8108251.11843499448150396 2156181.19329264853149652)>, <QgsPointXY: POINT(8108926.09362210240215063 2157329.69589276658371091)>, <QgsPointXY: POINT(8109380.96820471901446581 2158385.13608712377026677)>, <QgsPointXY: POINT(8109469.00844651646912098 2158943.9215962472371757)>, <QgsPointXY: POINT(8109351.62145745288580656 2159782.12979788798838854)>, <QgsPointXY: POINT(8108691.31964397709816694 2161117.12817408004775643)>]"
2373.003741,2926.043323,0.00034176,46.466537,"[<QgsPointXY: POINT(8108720.66639124229550362 2160992.93843147670850158)>, <QgsPointXY: POINT(8108456.54566585086286068 2161722.5644741477444768)>, <QgsPointXY: POINT(8108412.52554495260119438 2162157.24826203752309084)>, <QgsPointXY: POINT(8108573.93265491258352995 2163306.10199505370110273)>]"
5671.146807,21429.866237,0.00004666,15.162613,"[<QgsPointXY: POINT(8109336.94808382075279951 2169626.00731154624372721)>, <QgsPointXY: POINT(8109630.41555647738277912 2172204.24795898795127869)>, <QgsPointXY: POINT(8109571.7220619460567832 2175279.94597273273393512)>]"
4231.439625,9248.559117,0.00010812,26.214206,"[<QgsPointXY: POINT(8109630.41555647552013397 2174316.79626105725765228)>, <QgsPointXY: POINT(8109483.68182014767080545 2175870.2871472081169486)>, <QgsPointXY: POINT(8109483.68182014767080545 2177082.09632657328620553)>, <QgsPointXY: POINT(8109777.14929280336946249 2178511.50699109584093094)>]"
4737.358349,9468.265890,0.00010562,28.667408,"[<QgsPointXY: POINT(8110334.73749084956943989 2181588.20481964806094766)>, <QgsPointXY: POINT(8110686.89845803659409285 2183763.94268016749992967)>, <QgsPointXY: POINT(8110628.20496350713074207 2185193.84647046821191907)>, <QgsPointXY: POINT(8110452.12447991315275431 2186281.88757084449753165)>]"
1078.713508,3070.196666,0.00032571,20.130870,"[<QgsPointXY: POINT(8109967.90315002854913473 2191159.39617501804605126)>, <QgsPointXY: POINT(8109938.55640276428312063 2191439.2587548908777535)>, <QgsPointXY: POINT(8109901.87296868208795786 2191897.9312087413854897)>, <QgsPointXY: POINT(8109945.89308957941830158 2192232.22478517843410373)>]"
